Metro_Area_Name,State,Sum_of_Passengers,Latitude,Longitude
Atlanta,GA,1550916.0,33.7628,-84.422
LA/Inland Empire,CA,1307190.0,34.1141,-118.4068
Washington D.C.,DC,1248484.0,38.9047,-77.0163
Bay Area,CA,1072246.0,37.7558,-122.4449
Charlotte ,NC,1008128.0,35.2083,-80.8303
Chicago,IL,970452.0,41.8375,-87.6866
Dallas,TX,855011.0,32.7935,-96.7667
Las Vegas,NV,736505.0,36.2333,-115.2654
New York,NY,681855.0,40.6943,-73.9249
Detroit,MI,550230.0,42.3834,-83.1024
Boston/Providence,MA,535399.0,42.3188,-71.0852
Phoenix,AZ,490399.0,33.5722,-112.0892
Houston,TX,484598.0,29.786,-95.3885
San Diego,CA,431918.0,32.8313,-117.1222
Philadelphia,PA,371566.0,40.0077,-75.1339
Minneapolis/St.Paul,MN,356497.0,44.9635,-93.2678
Sacremento,CA,303467.0,38.5677,-121.4685
Nashville,TN,294947.0,36.1715,-86.7842
Denver,CO,293731.0,39.762,-104.8758
Raleigh,NC,283171.0,35.8324,-78.6429